snapshot,PV Power,Wind Power,Grid Power,EV Load,Battery SOC,Battery Charger
2024-03-29 05:00:00,-0.0,-0.0,214.60526315789474,214.5,100.0,0.10526315789473087
2024-03-29 06:00:00,0.1548895567086,-0.0,115.25037360118613,115.3,100.0,0.10526315789473087
2024-03-29 07:00:00,12.46986078512335,-0.0,69.13540237277138,81.5,100.0,0.10526315789473087
2024-03-29 08:00:00,106.5583558215035,4.666666666666656,23.580240669724574,134.7,100.0,0.10526315789473087
2024-03-29 09:00:00,182.24015606774225,12.799999999999992,-0.0,118.6,172.51814826435515,76.44015606774225
2024-03-29 10:00:00,316.04520771238543,13.5,-0.0,206.9,288.8585774428569,122.64520771238543
2024-03-29 11:00:00,379.2917087343004,27.299999999999986,-0.0,408.7,286.5668421629995,-2.108291265699588
2024-03-29 12:00:00,388.5668632719252,23.583333333333336,-0.0,353.8,341.71296209583204,58.350196605258496
2024-03-29 13:00:00,368.1076388888889,24.999999999999993,-0.0,265.0,463.0735060781807,128.1076388888889
2024-03-29 14:00:00,268.2574393977868,33.8,-0.0,262.7,500.0,39.35743939778682
2024-03-29 15:00:00,277.3611111111111,37.1,38.53888888888889,553.0,309.5,-200.0
2024-03-29 16:00:00,172.046875,28.5,54.953125,455.5,119.19049999999999,-200.0
2024-03-29 17:00:00,58.93576388888884,18.49999999999999,151.88917347953225,249.4,100.0,-20.07506263157893
2024-03-29 18:00:00,4.5833333333333,15.333333333333325,98.5885964912281,118.4,100.0,0.10526315789473087
2024-03-29 19:00:00,-0.0,17.833333333333332,203.0719298245614,220.8,100.0,0.10526315789473087
2024-03-29 20:00:00,-0.0,9.549999999999995,207.75526315789475,217.2,100.0,0.10526315789473087
2024-03-29 21:00:00,-0.0,3.399999999999996,335.20526315789476,338.5,100.0,0.10526315789473087
2024-03-29 22:00:00,-0.0,15.583333333333332,645.6219298245613,661.1,100.0,0.10526315789473087
2024-03-29 23:00:00,-0.0,23.083333333333332,287.4219298245614,310.4,100.0,0.10526315789473087
2024-03-30 00:00:00,-0.0,6.6,621.8052631578946,628.3,100.0,0.10526315789473087
